,Top ransomware attacks,Sector,Organisation Size,Revenue,Cost,Ransom Cost,Ransom Paid,YEAR,Month,Location,Ransomware
2,Kaseya,tech,300,300,70,70,unknown,2021,JUL,USA,REvil
12,Town of Freeport,government,10,127,0.01,0.01,refused,2021,JUN,USA,Avaddon
28,Ireland HSE,healthcare,25,"23,000",20,20,refused,2021,MAY,Ireland,Conti
32,Scripps Health,healthcare,25,"3,000",106.8,106.8,no,2021,MAY,USA,unknown
56,Coral Glades High School,academic,1,1,40,40,refused,2021,APR,USA,Conti
68,Oloron-Sainte-Marie,healthcare,10,106,0.05,0.05,unknown,2021,MAR,France,unknown
107,ECMC,healthcare,10,750,0.044,0.044,refused,2018,JAN,USA,unknown
109,Leominster PSD,academic,5,98,0.01,0.01,ransom paid,2018,MAY,USA,unknown
110,Arran Brewery,food & beverage,1,5,0.013,0.013,refused,2018,SEP,Scotland,unknown
111,Media Prima,media & sports,5,15,8.7,8.7,refused,2018,NOV,Malaysia,unknown
115,Wyoming Area School District,academic,5,35,0.038,0.038,ransom paid,2019,OCT,USA,unknown
124,Norsk Hydro,misc,10,"16,000",45,45,refused,2019,JUN,Norway,unknown
154,Beiersdorf,retail,25,"8,000",41,41,unknown,2017,JUN,Germany,NotPetya
155,Reckitt Benckiser,retail,25,"19,000",130,130,unknown,2017,JUN,UK,NotPetya
156,Nuance Communications,tech,10,"1,000",90,90,unknown,2017,JUN,USA,NotPetya
158,WPP,logistics,25,"19,000",15,15,unknown,2017,JUN,UK ,NotPetya
159,FedEx,logistics,100,"69,000",400,400,unknown,2017,JUN,USA,NotPetya
160,Merck,healthcare,100,"48,000",670,670,unknown,2017,JUN,USA,NotPetya
161,Mondelez International,food & beverage,25,"26,000",150,150,unknown,2017,JUN,USA,NotPetya
162,Saint-Gobain,misc,100,"52,000",387,387,unknown,2017,JUN,France,NotPetya
165,JBS,food & beverage,100,"53,445",11,11,unknown,2021,JUN,"USA, Australia, Canada",REvil
166,Colonial Pipeline,energy,10,696,4.4,4.4,unknown,2021,MAY,USA,DarkSide
168,Dairy Farm Group,food & beverage,25,"10,269",30,30,unknown,2021,JAN,China,REvil
171,Kia Motors,automotive,100,"51,978",20,20,unknown,2021,FEB,USA,DoppelPaymer
179,Allergy Partners,healthcare,10,156,1.75,1.75,unknown,2021,MAR,USA,Not revealed
180,Acer,tech,25,"9,860",50,50,unknown,2021,MAR,Taiwan,REvil
181,FatFace,retail,10,334,2,2,ransom paid,2021,MAR,France,Conti
182,CNA,finance,25,"10,687",40,40,ransom paid,2021,MAR,USA,Phoenix Locker
183,Pimpri-Chinchwad ,government,5,28,9,9,unknown,2021,MAR,India,Not revealed
184,Asteelflash,tech,10,"1,000",24,24,refused,2021,APR,France,REvil
185,Pierre Fabre,healthcare,25,"2,670",50,50,refused,2021,APR,France,REvil
187,Quanta Computer,tech,100,"39,369",100,100,refused,2021,APR,USA,REvil
188,Upstox,finance,10,140,1.2,1.2,unknown,2021,APR,India,Not revealed
189,TJR,legal,1,1,5,5,unknown,2021,APR,Brazil,REvil
